"kd_provinsi","nama_kampus","jenis_kampus","status_kampus"
"P001"," Poltekkes Kemenkes Aceh ","politeknik","negeri"
"P005","Akademi Akuntansi Al Fatah","akademi","swasta"
"P010","Akademi Akuntansi Bhakti","akademi","swasta"
"P004","Akademi Akuntansi Boekittinggi","akademi","swasta"
"P008","Akademi Akuntansi dan Komputer Stephen Jambi","akademi","swasta"
"P009","Akademi Akuntansi Dan Manajemen Mitra Lampung","akademi","swasta"
"P008","Akademi Akuntansi Dan Manajemen Pembangunan","akademi","swasta"
"P004","Akademi Akuntansi Indonesia Padang","akademi","swasta"
"P009","Akademi Akuntansi Lampung","akademi","swasta"
"P006","Akademi Akuntansi Mahaputera Riau","akademi","swasta"
"P007","Akademi Akuntansi Permata Harapan Batam","akademi","swasta"
"P002","Akademi Akuntansi Profesional Indonesia","akademi","swasta"
"P006","Akademi Akuntansi Riau","akademi","swasta"
"P003","Akademi Akuntansi Sjakhyakirti","akademi","swasta"
"P003","Akademi Akuntansi Unggulan SMB Palembang","akademi","swasta"
"P002","Akademi Akuntansi YPK Medan","akademi","swasta"
"P001","Akademi Analis Farmasi Dan Makanan Banda Aceh ","akademi","swasta"
"P002","Akademi Analis Farmasi dan Makanan Sari Mutiara","akademi","swasta"
"P005","Akademi Analis Kesehatan Harapan Bangsa","akademi","swasta"
"P006","Akademi Analis Kesehatan Pekanbaru","akademi","swasta"
"P001","Akademi Analis Kesehatan Pemerintah Aceh ","akademi","negeri"
"P008","Akademi Analis Kesehatan Provinsi Jambi","akademi","negeri"
"P007","Akademi Analis Kesehatan Putra Jaya Batam","akademi","swasta"
"P002","Akademi Analis Kesehatan Sari Mutiara","akademi","swasta"
"P003","Akademi Analis Kesehatan Widya Dharma","akademi","swasta"
"P004","Akademi Bahasa Asing Alaska Padang","akademi","swasta"
"P003","Akademi Bahasa Asing Bina Insan Indonesia","akademi","swasta"
"P009","Akademi Bahasa Asing Dian Cipta Cendikia","akademi","swasta"
"P009","Akademi Bahasa Asing Dian Cipta Cendikia Kotabumi","akademi","swasta"
"P004","Akademi Bahasa Asing H Agus Salim Bukittinggi","akademi","swasta"
"P008","Akademi Bahasa Asing Nurdin Hamzah","akademi","swasta"
"P007","Akademi Bahasa Asing Permata Harapan","akademi","swasta"
"P006","Akademi Bahasa Asing Persada Bunda","akademi","swasta"
"P007","Akademi Bahasa Asing Tanjung Pinang","akademi","swasta"
"P002","Akademi Bank dan Keuangan Swadaya","akademi","swasta"
"P009","Akademi Farmasi Cendikia Farma Husada","akademi","swasta"
"P004","Akademi Farmasi Dwi Farma","akademi","swasta"
"P004","Akademi Farmasi Imam Bonjol","akademi","swasta"
"P002","Akademi Farmasi Indah Deli Serdang","akademi","swasta"
"P001","Akademi Farmasi Nad ","akademi","negeri"
"P004","Akademi Farmasi Prayoga Padang","akademi","swasta"
"P008","Akademi Farmasi Propinsi Jambi","akademi","negeri"
"P004","Akademi Farmasi Ranah Minang","akademi","swasta"
"P005","Akademi Farmasi Yayasan Al-Fatah","akademi","swasta"
"P002","Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti","akademi","swasta"
"P001","Akademi Farmasi YPPM Mandiri ","akademi","swasta"
"P001","Akademi Fisioterapi Harapan Bangsa Banda Aceh ","akademi","swasta"
"P001","Akademi Fisioterapi Muhammadiyah Aceh ","akademi","swasta"
"P002","Akademi Fisioterapi Siti Hajar Medan","akademi","swasta"
"P004","Akademi Ilmu Komunikasi Padang","akademi","swasta"
"P002","Akademi Informatika Dan Komputer Medicom","akademi","swasta"
"P003","Akademi Kebidanan Abdurahman","akademi","swasta"
"P001","Akademi Kebidanan Adhira Mustika Gayo ","akademi","swasta"
"P009","Akademi Kebidanan Adila","akademi","swasta"
"P002","Akademi Kebidanan Agatha","akademi","swasta"
"P003","Akademi Kebidanan Agung Husada","akademi","swasta"
"P003","Akademi Kebidanan Aisyiyah Palembang","akademi","swasta"
"P003","Akademi Kebidanan Al-Sua Ibah Palembang","akademi","swasta"
"P009","Akademi Kebidanan Alifa Pringsewu Lampung","akademi","swasta"
"P004","Akademi Kebidanan Alifah Padang","akademi","swasta"
"P008","Akademi Kebidanan Amanah Muara Bungo","akademi","swasta"
"P009","Akademi Kebidanan An-Nur Husada Walisongo","akademi","swasta"
"P007","Akademi Kebidanan Anugerah Bintan","akademi","swasta"
"P002","Akademi Kebidanan Arta Kabanjahe","akademi","swasta"
"P002","Akademi Kebidanan As-Syifa Kisaran","akademi","swasta"
"P002","Akademi Kebidanan Audi Husada Medan","akademi","swasta"
"P008","Akademi Kebidanan Baiturrahim Jambi","akademi","swasta"
"P002","Akademi Kebidanan Bakti Inang Persada","akademi","swasta"
"P010","Akademi Kebidanan Bangka Belitung","akademi","swasta"
"P002","Akademi Kebidanan Baruna Husada Sibuhuan","akademi","swasta"
"P002","Akademi Kebidanan Bina Daya Husada","akademi","swasta"
"P002","Akademi Kebidanan Bina Husada Tebing Tinggi","akademi","swasta"
"P004","Akademi Kebidanan Bina Nusantara Mandiri","akademi","swasta"
"P002","Akademi Kebidanan Bina Sejahtera Ameta","akademi","swasta"
"P002","Akademi Kebidanan Budi Mulia","akademi","swasta"
"P008","Akademi Kebidanan Budi Mulia Jambi","akademi","swasta"
"P003","Akademi Kebidanan Budi Mulia Palembang","akademi","swasta"
"P003","Akademi Kebidanan Budi Mulia Prabumulih","akademi","swasta"
"P006","Akademi Kebidanan Bunda Serumpun","akademi","swasta"
"P001","Akademi Kebidanan Bunga Bangsa Idi ","akademi","swasta"
"P010","Akademi Kebidanan Bunga Bangsaku Bangka","akademi","swasta"
